rank	lr	epoch	val_acc	test_acc
8	1e-4	1	88.00	82.75
8	2e-4	1	85.25	80.83
8	3e-4	1	75.12	77.83
16	1e-4	1	87.32	81.61
16	2e-4	1	20.06	24.43
16	3e-4	1	11.80	0.0
