rank	lr	epoch	val_acc	test_acc
8	1e-4	1	97.14	92.86
8	2e-4	1	88.57	70.0
8	3e-4	1	94.29	87.14
8	5e-4	1	80.0	68.57
16	1e-4	1	94.29	91.43
16	2e-4	1	88.57	81.43
16	3e-4	1	85.71	82.86
16	5e-4	1	31.43	15.71
