rank	lr	epoch	val_acc	test_acc
4	1e-4	1	71.43	71.43
4	2e-4	1	74.29	72.86
4	3e-4	1	71.43	70.0
4	5e-4	1	71.43	68.57
8	1e-4	1	74.29	68.57
8	2e-4	1	74.29	72.86
8	3e-4	1	74.29	72.86
8	5e-4	1	68.57	68.57
16	1e-4	1	68.57	70.0
16	2e-4	1	71.43	71.43
16	3e-4	1	71.43	71.43
16	5e-4	1	60.0	65.71
