rank	lr	epoch	val_acc	test_acc
4	1e-4	1	88.46	63.1
4	2e-4	1	88.46	67.86
4	3e-4	1	92.31	64.29
4	5e-4	1	69.23	63.1
8	1e-4	1	88.46	64.29
8	2e-4	1	92.31	67.86
8	3e-4	1	92.31	65.48
8	5e-4	1	88.46	55.95
16	1e-4	1	92.31	69.05
16	2e-4	1	84.62	63.1
16	3e-4	1	80.77	58.33
16	5e-4	1	73.08	55.95
