rank	lr	epoch	val_acc	test_acc
8	1e-4	1	71.88	82.29
8	2e-4	1	72.96	82.29
8	3e-4	1	73.55	81.12
16	1e-4	1	72.27	82.41
16	2e-4	1	72.86	81.7
16	3e-4	1	70.70	79.59
